feature,importance
image_emb_43,2099.5362827181816
image_emb_77,2099.3937808275223
text_emb_278,2096.1235505342484
image_emb_8,2095.9277638196945
image_emb_464,2095.137399852276
image_emb_493,2094.7110399603844
text_emb_270,2093.7234109044075
image_emb_154,2088.7046999931335
image_emb_313,2087.444793879986
text_emb_40,2083.681418776512
text_emb_174,2081.9407509565353
text_emb_118,2081.2809764146805
image_emb_363,2079.6620510220528
text_emb_58,2079.607277929783
image_emb_255,2077.7059459090233
image_emb_27,2076.072098195553
image_emb_222,2074.7133580446243
image_emb_456,2073.0075449347496
image_emb_295,2071.1576592326164
text_emb_145,2068.778386414051
text_emb_296,2068.4908918738365
text_emb_324,2065.423512160778
text_emb_342,2062.7486300468445
image_emb_428,2061.490455329418
text_emb_139,2059.2808693647385
text_emb_208,2058.079261660576
image_emb_243,2057.9994983673096
text_emb_60,2055.37166595459
text_emb_312,2054.223093390465
image_emb_323,2050.1160145401955
text_emb_236,2050.100664973259
text_emb_68,2049.005255281925
image_emb_61,2045.1575564146042
image_emb_188,2044.8492287397385
image_emb_379,2043.3418282270432
text_emb_203,2043.1011575460434
text_emb_292,2041.6269602775574
text_emb_237,2040.5337246656418
image_emb_209,2038.224302649498
text_emb_132,2037.7690461874008
text_emb_193,2036.8320960998535
image_emb_283,2036.631554722786
image_emb_425,2033.1988421082497
text_emb_161,2029.551096856594
text_emb_24,2027.470272064209
text_emb_171,2026.1406331062317
text_emb_27,2024.856986939907
text_emb_265,2023.081837117672
image_emb_507,2021.8658413290977
image_emb_165,2021.2677854895592
image_emb_178,2021.0874003767967
image_emb_241,2017.9170497655869
text_emb_48,2016.0493301153183
image_emb_185,2015.8533072471619
text_emb_293,2015.0766335129738
image_emb_65,2014.9731677174568
text_emb_71,2011.652478158474
image_emb_446,2006.9263692498207
text_emb_86,2000.3348057866096
image_emb_476,1999.5870065689087
image_emb_485,1998.2316241264343
text_emb_169,1998.1817951202393
text_emb_273,1996.5195690393448
text_emb_248,1994.6943961977959
text_emb_100,1994.0763695836067
image_emb_42,1991.9293190836906
image_emb_102,1991.0906116962433
image_emb_344,1991.031722009182
image_emb_221,1989.2840524315834
text_emb_185,1988.9913036227226
text_emb_370,1985.3949502706528
text_emb_371,1985.0395783185959
image_emb_335,1984.0429445505142
text_emb_221,1982.1043083667755
text_emb_65,1977.6859577298164
image_emb_470,1976.8072667717934
text_emb_134,1976.6895604133606
text_emb_157,1975.8560143113136
image_emb_101,1974.9698140621185
image_emb_213,1972.9528930187225
image_emb_286,1970.4864017367363
text_emb_92,1969.9892073273659
image_emb_170,1968.3388414382935
text_emb_45,1965.8414614200592
image_emb_341,1965.3959603309631
text_emb_66,1964.1516287326813
image_emb_408,1961.154855787754
image_emb_121,1957.3489547371864
text_emb_215,1956.722160577774
